Test ID,Pupil dilation,Brightness,Time epoch,Eyes closed,Phase,Model name
19,1.058176,0.65971908772178,18018.19:32:15.7494395,0,Start,malcolm
19,1.059102,0.660613253939152,18018.19:32:15.7634014,0,Start,malcolm
19,1.060279,0.66063094962053,18018.19:32:15.7774236,0,Start,malcolm
19,1.060496,0.660543449625745,18018.19:32:15.7923724,0,Start,malcolm
19,1.061591,0.661559527996555,18018.19:32:15.8057166,0,Start,malcolm
19,1.062866,0.661103449592367,18018.19:32:15.8207009,0,Start,malcolm
19,1.06309,0.661034626067057,18018.19:32:15.8346882,0,Start,malcolm
19,1.063432,0.660297077091411,18018.19:32:15.8496713,0,Start,malcolm
19,1.062665,0.658635460335389,18018.19:32:15.8626584,0,Start,malcolm
19,1.063558,0.654957714664564,18018.19:32:15.8776437,0,Start,malcolm
19,1.064558,0.650267714944109,18018.19:32:15.8921046,0,Start,malcolm
19,1.067535,0.644048254530504,18018.19:32:15.9060900,0,Start,malcolm
19,1.066332,0.638812420717254,18018.19:32:15.9200766,0,Start,malcolm
19,1.066798,0.635993450297043,18018.19:32:15.9350613,0,Start,malcolm
19,1.067155,0.633173204971105,18018.19:32:15.9490461,0,Start,malcolm
19,1.067752,0.632348155604675,18018.19:32:15.9630587,0,Start,malcolm
19,1.067356,0.633363939857855,18018.19:32:15.9780171,0,Start,malcolm
19,1.066949,0.634799135850742,18018.19:32:15.9920034,0,Start,malcolm
19,1.065992,0.635851293046772,18018.19:32:16.0059898,0,Start,malcolm
19,1.066196,0.636446979681775,18018.19:32:16.0199743,0,Start,malcolm
19,1.066214,0.63979379320778,18018.19:32:16.0349583,0,Start,malcolm
19,1.065945,0.645835998729989,18018.19:32:16.0489441,0,Start,malcolm
19,1.065501,0.654627370755002,18018.19:32:16.0629304,0,Start,malcolm
19,1.066461,0.660648352372274,18018.19:32:16.0779154,0,Start,malcolm
19,1.065319,0.659053891682997,18018.19:32:16.0919005,0,Start,malcolm
19,1.065018,0.658615802681819,18018.19:32:16.1058868,0,Start,malcolm
19,1.065235,0.658896587770805,18018.19:32:16.1198722,0,Start,malcolm
19,1.064366,0.656864725146815,18018.19:32:16.1348575,0,Start,malcolm
19,1.063101,0.65521658799015,18018.19:32:16.1488420,0,Start,malcolm
19,1.063455,0.661729038186371,18018.19:32:16.1638273,0,Start,malcolm
19,1.062997,0.66262291107811,18018.19:32:16.1778133,0,Start,malcolm
19,1.062599,0.65973482301496,18018.19:32:16.1917981,0,Start,malcolm
19,1.06176,0.66171330328919,18018.19:32:16.2057847,0,Start,malcolm
19,1.061486,0.658594872102514,18018.19:32:16.2207703,0,Start,malcolm
19,1.060931,0.655022617413476,18018.19:32:16.2347545,0,Start,malcolm
19,1.061116,0.656335901648924,18018.19:32:16.2487408,0,Start,malcolm
19,1.061128,0.658016881544888,18018.19:32:16.2627265,0,Start,malcolm
19,1.060774,0.660608744531497,18018.19:32:16.2777103,0,Start,malcolm
19,1.061092,0.664198695297912,18018.19:32:16.2916963,0,Start,malcolm
19,1.060509,0.664602371744439,18018.19:32:16.3056827,0,Start,malcolm
19,1.060702,0.66164447976388,18018.19:32:16.3206667,0,Start,malcolm
19,1.059853,0.655830949510634,18018.19:32:16.3346524,0,Start,malcolm
19,1.059281,0.655340754649416,18018.19:32:16.3487159,0,Start,malcolm
19,1.058892,0.656374529097602,18018.19:32:16.3637012,0,Start,malcolm
19,1.058798,0.658267764278874,18018.19:32:16.3776860,0,Start,malcolm
19,1.05955,0.659808155947924,18018.19:32:16.3916720,0,Start,malcolm
19,1.060024,0.659773744185269,18018.19:32:16.4075816,0,Start,malcolm
19,1.060339,0.659161635982618,18018.19:32:16.4350087,0,Start,malcolm
19,1.060874,0.660510312768817,18018.19:32:16.4489944,0,Start,malcolm
19,1.061234,0.659300263821334,18018.19:32:16.4639779,0,Start,malcolm
19,1.061142,0.658458498769626,18018.19:32:16.4779639,0,Start,malcolm
19,1.062326,0.65774217528291,18018.19:32:16.4919506,0,Start,malcolm
