Test ID,Pupil dilation,Brightness,Time epoch,Eyes closed,Phase,Model name
36,1.515214,0.708473987964541,18022.19:25:46.1285317,0,Start,remy
36,1.503234,0.702637566743791,18022.19:25:46.1415181,0,Start,remy
36,1.491244,0.707432762536407,18022.19:25:46.1555052,0,Start,remy
36,1.47967,0.707168693924695,18022.19:25:46.1694894,0,Start,remy
36,1.474757,0.707781095848978,18022.19:25:46.1844741,0,Start,remy
36,1.463379,0.70376947844103,18022.19:25:46.1984598,0,Start,remy
36,1.452501,0.700074037484825,18022.19:25:46.2124454,0,Start,remy
36,1.439634,0.701738890326768,18022.19:25:46.2274301,0,Start,remy
36,1.434851,0.703244870629161,18022.19:25:46.2414155,0,Start,remy
36,1.426016,0.704961537193507,18022.19:25:46.2563091,0,Start,remy
36,1.417882,0.705487125397473,18022.19:25:46.2702843,0,Start,remy
36,1.413644,0.704383841149509,18022.19:25:46.2841376,0,Start,remy
36,1.406684,0.702683596152812,18022.19:25:46.2983162,0,Start,remy
36,1.39799,0.700791635481268,18022.19:25:46.3131664,0,Start,remy
36,1.393756,0.699444233600795,18022.19:25:46.3270798,0,Start,remy
36,1.386197,0.698884233634174,18022.19:25:46.3412216,0,Start,remy
36,1.384178,0.701897468748689,18022.19:25:46.3563093,0,Start,remy
36,1.375768,0.705312125407904,18022.19:25:46.3693090,0,Start,remy
36,1.371838,0.70890109578222,18022.19:25:46.3842936,0,Start,remy
36,1.36435,0.709778546710312,18022.19:25:46.3983097,0,Start,remy
36,1.358874,0.70990173297748,18022.19:25:46.4122945,0,Start,remy
36,1.354935,0.710235605506599,18022.19:25:46.4272792,0,Start,remy
36,1.348924,0.706905213548243,18022.19:25:46.4413028,0,Start,remy
36,1.344367,0.703348105917126,18022.19:25:46.4553099,0,Start,remy
36,1.338274,0.706012027326971,18022.19:25:46.4693101,0,Start,remy
36,1.335863,0.700566488435864,18022.19:25:46.4842058,0,Start,remy
36,1.331475,0.701897174631059,18022.19:25:46.4991905,0,Start,remy
36,1.326473,0.698448792483658,18022.19:25:46.5122408,0,Start,remy
36,1.324154,0.700777860972285,18022.19:25:46.5272851,0,Start,remy
36,1.322227,0.704229184295982,18022.19:25:46.5413024,0,Start,remy
36,1.324364,0.702619968705624,18022.19:25:46.5552790,0,Start,remy
36,1.325911,0.694986537788063,18022.19:25:46.5703086,0,Start,remy
36,1.329132,0.693463841800392,18022.19:25:46.5841451,0,Start,remy
36,1.333156,0.693062126138061,18022.19:25:46.5981293,0,Start,remy
36,1.335957,0.693797714329511,18022.19:25:46.6123066,0,Start,remy
36,1.338046,0.691065263511986,18022.19:25:46.6272913,0,Start,remy
36,1.338507,0.689645508694649,18022.19:25:46.6413032,0,Start,remy
36,1.348183,0.695930263222009,18022.19:25:46.6552807,0,Start,remy
36,1.35427,0.69825707680881,18022.19:25:46.6693071,0,Start,remy
36,1.367181,0.707101831183583,18022.19:25:46.6842915,0,Start,remy
36,1.380221,0.70599727242589,18022.19:25:46.6981385,0,Start,remy
36,1.386908,0.712863546526432,18022.19:25:46.7132811,0,Start,remy
36,1.399403,0.71312957592234,18022.19:25:46.7273059,0,Start,remy
36,1.411792,0.716056585551798,18022.19:25:46.7413028,0,Start,remy
