Test ID,Pupil dilation,Brightness,Time epoch,Eyes closed,Phase
0,1,0.674219774319977,18011.07:23:40.9454572,3,Start
0,1,0.677422176089883,18011.07:23:40.9595110,3,Start
0,1,0.674607421355695,18011.07:23:40.9744674,3,Start
0,1,0.673207323399931,18011.07:23:40.9884790,3,Start
0,1,0.668198892325908,18011.07:23:41.0024605,3,Start
0,1,0.666537863013148,18011.07:23:41.0164980,3,Start
0,1,0.665645559144765,18011.07:23:41.0324968,3,Start
0,1,0.664858451348543,18011.07:23:41.0454931,3,Start
0,1,0.667607225694507,18011.07:23:41.0594800,3,Start
0,1,0.663196735761315,18011.07:23:41.0744635,3,Start
0,1,0.663827814155072,18011.07:23:41.0884492,3,Start
0,1,0.669691196158528,18011.07:23:41.1025048,3,Start
0,1,0.673262470455468,18011.07:23:41.1174886,3,Start
0,1,0.671983597982675,18011.07:23:41.1315409,3,Start
0,1,0.666448990469426,18011.07:23:41.1455040,3,Start
0,1,0.668004529592395,18011.07:23:41.1604872,3,Start
0,1,0.679369185777754,18011.07:23:41.1744949,3,Start
0,1,0.666315412046015,18011.07:23:41.2024455,3,Start
0,1,0.669316833435744,18011.07:23:41.2174513,3,Start
0,1,0.655835902866721,18011.07:23:41.2454263,3,Start
0,1,0.740709672317654,18011.07:23:41.2603854,3,Start
0,1,0.687309626480937,18011.07:23:41.2743973,3,Start
0,1,0.689894283189625,18011.07:23:41.2883836,3,Start
0,1,0.736388398065418,18011.07:23:41.3023697,3,Start
0,1,0.698202714066952,18011.07:23:41.3173486,3,Start
0,1,0.712144477941841,18011.07:23:41.3313985,3,Start
0,1,0.696386390645802,18011.07:23:41.3453839,3,Start
0,1,0.741136535037309,18011.07:23:41.3603810,3,Start
0,1,0.759456730023771,18011.07:23:41.3743543,3,Start
0,1,0.753251681374014,18011.07:23:41.3883406,3,Start
0,1,0.763080749415606,18011.07:23:41.4023887,3,Start
0,1,0.727412859384716,18011.07:23:41.4173746,3,Start
0,1,0.762312906324118,18011.07:23:41.4323632,3,Start
0,1,0.754454377380759,18011.07:23:41.4463489,3,Start
0,1,0.660895216290653,18011.07:23:42.4616096,3,Start
0,1,0.695099282879382,18011.07:23:42.4745753,3,Start
0,1,0.737268790169805,18011.07:23:42.4885920,3,Start
0,1,0.720932663692534,18011.07:23:42.5025907,3,Start
0,1,0.670235754157603,18011.07:23:42.5175567,3,Start
0,1,0.676419822416454,18011.07:23:42.5315174,3,Start
0,1,0.701130360951274,18011.07:23:42.5455284,3,Start
0,1,0.722883987105638,18011.07:23:42.5595644,3,Start
0,1,0.72815746718347,18011.07:23:42.5745488,3,Start
0,1,0.709544183979183,18011.07:23:42.5885345,3,Start
0,1,0.665537764241546,18011.07:23:42.6026061,3,Start
0,1,0.655851832654327,18011.07:23:42.6175905,3,Start
0,1,0.646464382233471,18011.07:23:42.6315762,3,Start
0,1,0.65013663652055,18011.07:23:42.6455619,3,Start
0,1,0.675855312250182,18011.07:23:42.6595476,3,Start
0,1,0.691683841906488,18011.07:23:42.6745323,3,Start
0,1,0.680461439030617,18011.07:23:42.6885180,3,Start
0,1,0.667064331590012,18011.07:23:42.7025329,3,Start
0,1,0.664086783143878,18011.07:23:42.7205814,3,Start
0,1,0.622460754233226,18011.07:23:42.7455665,3,Start
0,1,0.598686146619171,18011.07:23:42.7605409,3,Start
0,1,0.640493646107241,18011.07:23:42.7745263,3,Start
0,1,0.62393129375726,18011.07:23:42.7885123,3,Start
0,1,0.656896636513621,18011.07:23:42.8024980,3,Start
0,1,0.624438154888153,18011.07:23:42.8175650,3,Start
0,1,0.706102419478446,18011.07:23:42.8315835,3,Start
0,1,0.628338645643741,18011.07:23:42.8455689,3,Start
0,1,0.664302274119109,18011.07:23:42.8595667,3,Start
0,1,0.695121684046835,18011.07:23:42.8745393,3,Start
0,1,0.639224332457408,18011.07:23:42.8885253,3,Start
0,1,0.6275453609813,18011.07:23:42.9025954,3,Start
0,1,0.616984920038283,18011.07:23:42.9175687,3,Start
0,1,0.644112714518979,18011.07:23:42.9315538,3,Start
0,1,0.670382911011577,18011.07:23:42.9455386,3,Start
0,1,0.667447519029677,18011.07:23:42.9595833,3,Start
