Test ID,Pupil dilation,Brightness,Time epoch,Eyes closed,Phase,Model name
29,0.9150142,0.750182416851074,18020.20:27:36.5424636,0,Start,remy
29,0.9237365,0.736555947075039,18020.20:27:36.5554518,0,Start,remy
29,0.923403,0.728883594591171,18020.20:27:36.5694366,0,Start,remy
29,0.9296035,0.716394526708126,18020.20:27:36.5844206,0,Start,remy
29,0.9300586,0.703503056888282,18020.20:27:36.5984075,1,Start,remy
29,0.9288436,0.697545410184562,18020.20:27:36.6134160,1,Start,remy
29,0.9270822,0.695301880906522,18020.20:27:36.6273769,1,Start,remy
29,0.9264938,0.698665017960966,18020.20:27:36.6413626,1,Start,remy
29,0.9212622,0.703007272604108,18020.20:27:36.6552883,1,Start,remy
29,0.921393,0.708703693833202,18020.20:27:36.6697363,1,Start,remy
29,0.9220089,0.712698889673501,18020.20:27:36.6837220,1,Start,remy
29,0.9225813,0.705049331305921,18020.20:27:36.6977299,1,Start,remy
29,0.9195315,0.695210312284529,18020.20:27:36.7126920,0,Start,remy
29,0.9187461,0.686735508868098,18020.20:27:36.7266774,0,Start,remy
29,0.9212745,0.690381194925308,18020.20:27:36.7406905,0,Start,remy
29,0.9218681,0.716230507110059,18020.20:27:36.7556486,0,Start,remy
29,0.917068,0.726560016298294,18020.20:27:36.7706321,0,Start,remy
29,0.9144964,0.706048792030662,18020.20:27:36.7846184,0,Start,remy
29,0.9088874,0.708274233074486,18020.20:27:36.7986266,0,Start,remy
29,0.9064248,0.746860848421603,18020.20:27:36.8136116,0,Start,remy
29,0.9113216,0.72244663419053,18020.20:27:36.8265748,0,Start,remy
29,0.9155528,0.698677861097455,18020.20:27:36.8415610,0,Start,remy
29,0.9256801,0.712003497558087,18020.20:27:36.8555466,0,Start,remy
29,0.9347306,0.693650655514747,18020.20:27:36.8695320,0,Start,remy
29,0.9341642,0.649581291671097,18020.20:27:36.8835391,1,Start,remy
29,0.9333566,0.654285704226047,18020.20:27:36.8985030,1,Start,remy
29,0.9327787,0.730826927412674,18020.20:27:36.9134870,1,Start,remy
29,0.9368141,0.769093347096443,18020.20:27:36.9264725,0,Start,remy
29,0.9419806,0.760953837777674,18020.20:27:36.9414584,0,Start,remy
29,0.9472563,0.754183446024358,18020.20:27:36.9554658,0,Start,remy
29,0.949941,0.753541779395938,18020.20:27:36.9694285,0,Start,remy
29,0.9519988,0.744800652465969,18020.20:27:36.9834157,0,Start,remy
29,0.9558614,0.724430408582091,18020.20:27:36.9983986,0,Start,remy
29,0.9616857,0.725622663412988,18020.20:27:37.0134143,0,Start,remy
29,0.9668362,0.719898791205138,18020.20:27:37.0263986,0,Start,remy
29,0.9678291,0.746748740585148,18020.20:27:37.0414004,0,Start,remy
29,0.9688559,0.752057318700105,18020.20:27:37.0553807,0,Start,remy
29,0.9704898,0.768151876564324,18020.20:27:37.0692907,0,Start,remy
29,0.9719305,0.773161582148075,18020.20:27:37.0841416,0,Start,remy
29,0.9729899,0.758768347711861,18020.20:27:37.0991494,0,Start,remy
29,0.9734856,0.753022661779821,18020.20:27:37.1131119,0,Start,remy
29,0.9744393,0.747823495423049,18020.20:27:37.1264391,0,Start,remy
29,0.9742081,0.746331975904107,18020.20:27:37.1414027,0,Start,remy
29,0.9727293,0.745122907348722,18020.20:27:37.1553860,0,Start,remy
29,0.9724093,0.744615309339762,18020.20:27:37.1695172,0,Start,remy
29,0.9721532,0.749692269821465,18020.20:27:37.1845245,0,Start,remy
29,0.9715849,0.761618788718432,18020.20:27:37.1984875,0,Start,remy
29,0.9715278,0.758868347705901,18020.20:27:37.2134722,0,Start,remy
29,0.9718217,0.745751436723024,18020.20:27:37.2264610,0,Start,remy
29,0.9712317,0.756523543924093,18020.20:27:37.2414448,0,Start,remy
29,0.9712318,0.748745995368063,18020.20:27:37.2554307,0,Start,remy
29,0.969882,0.741550358542055,18020.20:27:37.2694384,0,Start,remy
29,0.9695588,0.743615358418971,18020.20:27:37.2844005,0,Start,remy
29,0.9672977,0.741899966364354,18020.20:27:37.2983907,0,Start,remy
29,0.9654034,0.737190701939165,18020.20:27:37.3133793,0,Start,remy
29,0.9642873,0.740430358608812,18020.20:27:37.3265184,0,Start,remy
29,0.9622076,0.748698103214055,18020.20:27:37.3415031,0,Start,remy
29,0.9603287,0.751588838335872,18020.20:27:37.3554885,0,Start,remy
29,0.9594384,0.751238544239104,18020.20:27:37.3694748,0,Start,remy
29,0.9585936,0.750063887446374,18020.20:27:37.3844823,0,Start,remy
29,0.9567083,0.749677907077223,18020.20:27:37.3984451,0,Start,remy
29,0.9547275,0.741532074229419,18020.20:27:37.4124305,0,Start,remy
29,0.9537262,0.737467662706971,18020.20:27:37.4274160,0,Start,remy
29,0.9518535,0.736537123546749,18020.20:27:37.4413728,0,Start,remy
29,0.9502306,0.735589868701249,18020.20:27:37.4556918,0,Start,remy
29,0.9493559,0.735941731425375,18020.20:27:37.4696793,0,Start,remy
29,0.9476032,0.734923692270368,18020.20:27:37.4846624,0,Start,remy
29,0.9467051,0.731491339533776,18020.20:27:37.4986478,0,Start,remy
29,0.9458073,0.728776290675998,18020.20:27:37.5126678,0,Start,remy
29,0.9453416,0.732468202220649,18020.20:27:37.5266189,0,Start,remy
29,0.9456552,0.733939770760387,18020.20:27:37.5416035,0,Start,remy
29,0.9464352,0.739279819461703,18020.20:27:37.5556118,0,Start,remy
29,0.9480131,0.749966975687444,18020.20:27:37.5695972,0,Start,remy
29,0.9490094,0.756590406665206,18020.20:27:37.5845595,0,Start,remy
29,0.9501633,0.75062055407986,18020.20:27:37.5985449,0,Start,remy
29,0.9514133,0.751585505002737,18020.20:27:37.6135540,0,Start,remy
29,0.9528334,0.745876191617549,18020.20:27:37.6275162,0,Start,remy
29,0.9547268,0.748120995405316,18020.20:27:37.6415018,0,Start,remy
29,0.9574704,0.749765603150427,18020.20:27:37.6554884,0,Start,remy
29,0.9574677,0.750746975640953,18020.20:27:37.6705095,0,Start,remy
29,0.958742,0.750956681510806,18020.20:27:37.6844591,0,Start,remy
29,0.9590921,0.750678152115643,18020.20:27:37.6984432,0,Start,remy
29,0.9598634,0.751063152092695,18020.20:27:37.7134291,0,Start,remy
29,0.9609782,0.750485456048697,18020.20:27:37.7267681,0,Start,remy
29,0.9628885,0.75064275996089,18020.20:27:37.7407284,0,Start,remy
29,0.963932,0.747840211108327,18020.20:27:37.7557345,0,Start,remy
29,0.9662107,0.738349231281877,18020.20:27:37.7696988,0,Start,remy
29,0.9688416,0.736948741169274,18020.20:27:37.7836839,0,Start,remy
29,0.9704311,0.738980309675634,18020.20:27:37.7986920,0,Start,remy
29,0.97106,0.738681829301268,18020.20:27:37.8136842,0,Start,remy
29,0.9715367,0.736844231371582,18020.20:27:37.8276389,0,Start,remy
29,0.9733874,0.733043594343215,18020.20:27:37.8406479,0,Start,remy
29,0.9729773,0.738487858724594,18020.20:27:37.8556117,0,Start,remy
29,0.9727239,0.741290113459527,18020.20:27:37.8695980,0,Start,remy
29,0.9695209,0.706849821394682,18020.20:27:37.8845800,0,Start,remy
29,0.9699414,0.663377026421577,18020.20:27:37.8985882,0,Start,remy
29,0.9715123,0.57483413249515,18020.20:27:37.9135509,0,Start,remy
29,0.9713763,0.561981732901558,18020.20:27:37.9265379,0,Start,remy
29,0.9688612,0.569880505735427,18020.20:27:37.9415235,0,Start,remy
29,0.9675742,0.555134329351783,18020.20:27:37.9555092,0,Start,remy
