Test ID,Pupil dilation,Brightness,Time epoch,Eyes closed,Phase,Model name
7,1.15812,0.717567614873499,18012.18:32:47.8926740,0,Start,ty
7,1.1582,0.692192665405571,18012.18:32:47.9076584,0,Start,ty
7,1.158541,0.745068789704889,18012.18:32:47.9216441,0,Start,ty
7,1.158866,0.692768988900632,18012.18:32:47.9366288,0,Start,ty
7,1.159352,0.7494396227777,18012.18:32:47.9496155,0,Start,ty
7,1.161152,0.707973252700269,18012.18:32:47.9646002,0,Start,ty
7,1.15963,0.766376288434863,18012.18:32:47.9785859,0,Start,ty
7,1.15756,0.762779621982574,18012.18:32:47.9925719,0,Start,ty
7,1.161007,0.739931584128737,18012.18:32:48.0075560,0,Start,ty
7,1.164913,0.730600163116306,18012.18:32:48.0215423,0,Start,ty
7,1.17139,0.749647907079011,18012.18:32:48.0365270,0,Start,ty
7,1.176093,0.733345310011506,18012.18:32:48.0505121,0,Start,ty
7,1.181448,0.745458642622829,18012.18:32:48.0644984,0,Start,ty
7,1.18468,0.746970554297417,18012.18:32:48.0794831,0,Start,ty
7,1.185277,0.783367414873093,18012.18:32:48.0934685,0,Start,ty
7,1.17845,0.707621046838909,18012.18:32:48.1074539,0,Start,ty
7,1.175558,0.793208394678682,18012.18:32:48.1214399,0,Start,ty
7,1.168058,0.765763886510581,18012.18:32:48.1364246,0,Start,ty
7,1.163417,0.749044965938479,18012.18:32:48.1504100,0,Start,ty
7,1.154823,0.781372905188054,18012.18:32:48.1643963,0,Start,ty
7,1.153336,0.749219426712394,18012.18:32:48.1793807,0,Start,ty
7,1.153519,0.755458151830733,18012.18:32:48.1933664,0,Start,ty
7,1.156094,0.778816189654171,18012.18:32:48.2073524,0,Start,ty
7,1.160503,0.789235845895857,18012.18:32:48.2223368,0,Start,ty
7,1.16313,0.749174524754286,18012.18:32:48.2363273,0,Start,ty
7,1.1664,0.751295161882788,18012.18:32:48.2503206,0,Start,ty
7,1.167344,0.724394330152869,18012.18:32:48.2642942,0,Start,ty
7,1.167619,0.740074672355503,18012.18:32:48.2792792,0,Start,ty
7,1.166873,0.769436729428917,18012.18:32:48.2932640,0,Start,ty
7,1.166605,0.755637465545535,18012.18:32:48.3072503,0,Start,ty
7,1.166491,0.759961631954461,18012.18:32:48.3222350,0,Start,ty
7,1.166382,0.766075013943016,18012.18:32:48.3362201,0,Start,ty
7,1.161156,0.759750063339621,18012.18:32:48.3502064,0,Start,ty
7,1.154023,0.740367662534118,18012.18:32:48.3651911,0,Start,ty
7,1.158288,0.740088740982115,18012.18:32:48.3791765,0,Start,ty
7,1.156964,0.7324826630041,18012.18:32:48.3931701,0,Start,ty
7,1.15561,0.742165652623028,18012.18:32:48.4071482,0,Start,ty
7,1.149108,0.750028740389645,18012.18:32:48.4221326,0,Start,ty
