Test ID,Pupil dilation,Brightness,Time epoch,Eyes closed,Phase,Model name
23,1.558727,0.627873253910616,18019.21:56:32.3891121,0,Start,aj
23,1.561706,0.624283989418671,18019.21:56:32.4030978,0,Start,aj
23,1.563068,0.616108254215866,18019.21:56:32.4190811,0,Start,aj
23,1.564599,0.613799430824071,18019.21:56:32.4330674,0,Start,aj
23,1.566659,0.617391635700315,18019.21:56:32.4470525,0,Start,aj
23,1.568521,0.61588565579392,18019.21:56:32.4620375,0,Start,aj
23,1.570948,0.618584282688052,18019.21:56:32.4775745,0,Start,aj
23,1.574997,0.613814871207624,18019.21:56:32.5035476,0,Start,aj
23,1.576026,0.600010557908937,18019.21:56:32.5185338,0,Start,aj
23,1.577179,0.591616783107445,18019.21:56:32.5335172,0,Start,aj
23,1.580381,0.578794431326538,18019.21:56:32.5465045,0,Start,aj
23,1.581905,0.565360950943083,18019.21:56:32.5604899,0,Start,aj
23,1.582866,0.563294970674068,18019.21:56:32.5754752,0,Start,aj
23,1.583414,0.562626245223731,18019.21:56:32.5894605,0,Start,aj
23,1.583864,0.563273058910668,18019.21:56:32.6034456,0,Start,aj
23,1.584026,0.565353794476762,18019.21:56:32.6184303,0,Start,aj
23,1.58473,0.566855264975503,18019.21:56:32.6324166,0,Start,aj
23,1.587348,0.577423107878864,18019.21:56:32.6464025,0,Start,aj
23,1.588151,0.58179271585755,18019.21:56:32.6603873,0,Start,aj
23,1.590263,0.587844578241929,18019.21:56:32.6753720,0,Start,aj
23,1.591405,0.588195166456327,18019.21:56:32.6893598,0,Start,aj
23,1.591405,0.591658695661649,18019.21:56:32.7043444,0,Start,aj
23,1.59327,0.590942372174934,18019.21:56:32.7183301,0,Start,aj
23,1.596803,0.592354088173062,18019.21:56:32.7333145,0,Start,aj
23,1.597663,0.586439578325674,18019.21:56:32.7461620,0,Start,aj
23,1.599178,0.577451049449667,18019.21:56:32.7609766,0,Start,aj
23,1.600805,0.573065999899432,18019.21:56:32.7750672,0,Start,aj
23,1.601389,0.572367078372464,18019.21:56:32.7890529,0,Start,aj
23,1.60205,0.568029921768233,18019.21:56:32.8040336,0,Start,aj
23,1.604079,0.564041490237415,18019.21:56:32.8180365,0,Start,aj
23,1.604338,0.562502078564465,18019.21:56:32.8330642,0,Start,aj
23,1.604405,0.562590853068978,18019.21:56:32.8460383,0,Start,aj
23,1.605162,0.565585117596388,18019.21:56:32.8603829,0,Start,aj
23,1.606933,0.56675849987939,18019.21:56:32.8753669,0,Start,aj
23,1.607675,0.568597372318804,18019.21:56:32.8886857,0,Start,aj
23,1.608271,0.568560999771953,18019.21:56:32.9045946,0,Start,aj
23,1.609455,0.566737568508089,18019.21:56:32.9185800,0,Start,aj
23,1.609737,0.565892863072082,18019.21:56:32.9325657,0,Start,aj
23,1.609456,0.563699186732247,18019.21:56:32.9465511,0,Start,aj
23,1.609167,0.569958794598281,18019.21:56:32.9606066,0,Start,aj
23,1.608063,0.569688942069188,18019.21:56:32.9755913,0,Start,aj
23,1.606055,0.568823991140351,18019.21:56:32.9890614,0,Start,aj
23,1.604738,0.568504873512313,18019.21:56:33.0040460,0,Start,aj
23,1.601974,0.565552471727505,18019.21:56:33.0180320,0,Start,aj
23,1.59744,0.565507127800956,18019.21:56:33.0320174,0,Start,aj
23,1.595104,0.564921441561356,18019.21:56:33.0460031,0,Start,aj
23,1.590011,0.563594971052185,18019.21:56:33.0609874,0,Start,aj
23,1.584743,0.56512286272198,18019.21:56:33.0749737,0,Start,aj
23,1.579127,0.56822938214466,18019.21:56:33.0889591,0,Start,aj
23,1.576223,0.575867028748244,18019.21:56:33.1039444,0,Start,aj
23,1.570341,0.57600663658306,18019.21:56:33.1179300,0,Start,aj
23,1.564611,0.579247959919274,18019.21:56:33.1319154,0,Start,aj
23,1.561626,0.587846047642082,18019.21:56:33.1468998,0,Start,aj
23,1.55567,0.585690999146923,18019.21:56:33.1618844,0,Start,aj
23,1.55268,0.585359381123632,18019.21:56:33.1758701,0,Start,aj
23,1.54677,0.583204626350105,18019.21:56:33.1898561,0,Start,aj
23,1.54107,0.578809871710092,18019.21:56:33.2038412,0,Start,aj
23,1.534876,0.573992470036447,18019.21:56:33.2178275,0,Start,aj
23,1.531439,0.574133352380991,18019.21:56:33.2318128,0,Start,aj
23,1.525347,0.576148793437332,18019.21:56:33.2467972,0,Start,aj
23,1.518387,0.578984185425192,18019.21:56:33.2607829,0,Start,aj
23,1.51162,0.576603009096533,18019.21:56:33.2747689,0,Start,aj
23,1.507984,0.574363695504516,18019.21:56:33.2897535,0,Start,aj
23,1.500599,0.573750607305765,18019.21:56:33.3037389,0,Start,aj
23,1.497039,0.573433450461924,18019.21:56:33.3177249,0,Start,aj
23,1.490463,0.572611636785418,18019.21:56:33.3317106,0,Start,aj
23,1.486925,0.568740215447545,18019.21:56:33.3466952,0,Start,aj
23,1.409425,0.807111531104892,18019.21:56:33.6337302,0,Start,aj
23,1.401075,0.784340846187621,18019.21:56:33.6607025,0,Start,aj
23,1.395824,0.785282071621716,18019.21:56:33.6900387,0,Start,aj
23,1.394319,0.794812316151708,18019.21:56:33.7040244,0,Start,aj
23,1.39157,0.795168443581462,18019.21:56:33.7180104,0,Start,aj
23,1.388434,0.784521385392547,18019.21:56:33.7329947,0,Start,aj
23,1.386882,0.765028298319131,18019.21:56:33.7609661,0,Start,aj
23,1.383911,0.798835404147208,18019.21:56:33.7749524,0,Start,aj
23,1.383911,0.784989179482311,18019.21:56:33.7899364,0,Start,aj
23,1.381983,0.727149035871029,18019.21:56:33.8039227,0,Start,aj
23,1.381694,0.764590994423628,18019.21:56:33.8179078,0,Start,aj
23,1.381307,0.731163692494482,18019.21:56:33.8328925,0,Start,aj
23,1.380807,0.726984526076913,18019.21:56:33.8458789,0,Start,aj
23,1.381539,0.690372567474842,18019.21:56:33.8608638,0,Start,aj
23,1.382242,0.767072268785536,18019.21:56:33.8748495,0,Start,aj
23,1.383164,0.711435850533098,18019.21:56:33.8888352,0,Start,aj
23,1.383344,0.750316632529348,18019.21:56:33.9038198,0,Start,aj
23,1.38312,0.765681484554708,18019.21:56:33.9188042,0,Start,aj
23,1.383725,0.79751275716722,18019.21:56:33.9327899,0,Start,aj
23,1.382786,0.749710505114496,18019.21:56:33.9467756,0,Start,aj
23,1.404719,0.762541925918311,18019.21:56:34.1197514,0,Start,aj
23,1.406907,0.775168346734345,18019.21:56:34.1317391,0,Start,aj
23,1.408581,0.786898934270442,18019.21:56:34.1467241,0,Start,aj
23,1.409253,0.788856777291,18019.21:56:34.1606341,0,Start,aj
23,1.409801,0.781553983608633,18019.21:56:34.1750673,0,Start,aj
23,1.408202,0.757235259171948,18019.21:56:34.1890524,0,Start,aj
23,1.407175,0.708546682454645,18019.21:56:34.2040368,0,Start,aj
23,1.405347,0.654774037016928,18019.21:56:34.2180227,0,Start,aj
