Test ID,Pupil dilation,Brightness,Time epoch,Eyes closed,Phase
0,1,0.641307322133333,18011.07:40:19.6924720,3,Start
0,1,0.641307322133333,18011.07:40:19.6944703,3,Start
0,1,0.734146143297106,18011.07:40:20.7224194,3,Start
0,1,0.719327124572545,18011.07:40:20.8093297,3,Start
0,1,0.725950163393468,18011.07:40:20.8363027,3,Start
0,1,0.708085654654354,18011.07:40:20.8502887,3,Start
0,1,0.7102565368779,18011.07:40:20.8642741,3,Start
0,1,0.714477271920442,18011.07:40:20.8792591,3,Start
0,1,0.718773301076144,18011.07:40:20.8932445,3,Start
0,1,0.709772909455746,18011.07:40:20.9072302,3,Start
0,1,0.691683841906488,18011.07:40:20.9222149,3,Start
0,1,0.704504233299196,18011.07:40:20.9362301,3,Start
0,1,0.724627026217431,18011.07:40:20.9502384,3,Start
0,1,0.737885505819321,18011.07:40:20.9652002,3,Start
0,1,0.749970897255838,18011.07:40:20.9792073,3,Start
0,1,0.754523544043302,18011.07:40:20.9931933,3,Start
0,1,0.727849967201799,18011.07:40:21.9522150,3,Start
0,1,0.741257515422255,18011.07:40:22.7084195,3,Start
0,1,0.737917466601729,18011.07:40:22.7363894,3,Start
0,1,0.740982809556276,18011.07:40:22.7513744,3,Start
0,1,0.740071240983158,18011.07:40:22.7653845,3,Start
0,1,0.742225015364587,18011.07:40:22.7793449,3,Start
0,1,0.738424378336221,18011.07:40:22.7933523,3,Start
0,1,0.737372907810658,18011.07:40:22.8073175,3,Start
0,1,0.737915505817533,18011.07:40:22.8223022,3,Start
0,1,0.742311829084903,18011.07:40:22.8362879,3,Start
0,1,0.740875358582288,18011.07:40:22.8502971,3,Start
0,1,0.73798530973494,18011.07:40:22.8652583,3,Start
0,1,0.73409717271179,18011.07:40:22.8792443,3,Start
0,1,0.7415408487387,18011.07:40:22.8932544,3,Start
0,1,0.743990554475039,18011.07:40:22.9072377,3,Start
0,1,0.743447270193696,18011.07:40:22.9222001,3,Start
0,1,0.740717074277997,18011.07:40:22.9362108,3,Start
0,1,0.737863397977501,18011.07:40:22.9501935,3,Start
0,1,0.73686403529197,18011.07:40:22.9651610,3,Start
0,1,0.74311790746823,18011.07:40:22.9791678,3,Start
0,1,0.748720456153899,18011.07:40:22.9931370,3,Start
0,1,0.753064671581238,18011.07:40:23.0081117,3,Start
0,1,0.754184965632111,18011.07:40:23.0221230,3,Start
0,1,0.758159328140318,18011.07:40:23.0361124,3,Start
0,1,0.719942663751543,18011.07:40:23.6095227,3,Start
0,1,0.736494868647307,18011.07:40:23.6364701,3,Start
0,1,0.741872564405203,18011.07:40:23.6504802,3,Start
0,1,0.738526437153667,18011.07:40:23.6654628,3,Start
0,1,0.730628251349926,18011.07:40:23.6794250,3,Start
0,1,0.721239232301712,18011.07:40:23.6934363,3,Start
0,1,0.714514134663344,18011.07:40:23.7084207,3,Start
0,1,0.716720997276902,18011.07:40:23.7223814,3,Start
0,1,0.714566242503375,18011.07:40:23.7373673,3,Start
0,1,0.709539527116716,18011.07:40:23.7504447,3,Start
0,1,0.704459723497927,18011.07:40:23.7654279,3,Start
0,1,0.699519821831584,18011.07:40:23.7794688,3,Start
0,1,0.710920752524584,18011.07:40:23.7934548,3,Start
0,1,0.721797369523346,18011.07:40:23.8084392,3,Start
0,1,0.727663986820728,18011.07:40:23.8224249,3,Start
0,1,0.733601682545245,18011.07:40:23.8364760,3,Start
0,1,0.735528349097073,18011.07:40:23.8524825,3,Start
0,1,0.751202122672647,18011.07:40:23.8794857,3,Start
0,1,0.754178691122681,18011.07:40:23.8944704,3,Start
0,1,0.757068739970028,18011.07:40:23.9085429,3,Start
0,1,0.751763397148997,18011.07:40:23.9235041,3,Start
0,1,0.739801191979647,18011.07:40:23.9364908,3,Start
0,1,0.732254280664772,18011.07:40:23.9514746,3,Start
0,1,0.727034182936698,18011.07:40:23.9654850,3,Start
0,1,0.719731095136702,18011.07:40:23.9794743,3,Start
0,1,0.713005703380704,18011.07:40:23.9935263,3,Start
0,1,0.707734478204697,18011.07:40:24.0085631,3,Start
0,1,0.706350409659743,18011.07:40:24.0225485,3,Start
0,1,0.706087027322501,18011.07:40:24.0365346,3,Start
0,1,0.704003350976109,18011.07:40:24.0515201,3,Start
0,1,0.702584870668501,18011.07:40:24.0655046,3,Start
0,1,0.69599810635522,18011.07:40:24.0794907,3,Start
0,1,0.691236047815532,18011.07:40:24.0935586,3,Start
0,1,0.688730998945236,18011.07:40:24.1085433,3,Start
0,1,0.690150459644943,18011.07:40:24.1225290,3,Start
0,1,0.695753008330613,18011.07:40:24.1365147,3,Start
0,1,0.708783399710804,18011.07:40:24.1514997,3,Start
0,1,0.727643447606266,18011.07:40:24.1654851,3,Start
0,1,0.753022318642587,18011.07:40:24.1794705,3,Start
0,1,0.798764374739677,18011.07:40:24.1935454,3,Start
0,1,0.8149466286771,18011.07:40:24.2085307,3,Start
0,1,0.817942167714238,18011.07:40:24.2225167,3,Start
0,1,0.807819815376401,18011.07:40:24.2364807,3,Start
0,1,0.788065600867569,18011.07:40:24.2514898,3,Start
0,1,0.762777955316007,18011.07:40:24.2654743,3,Start
0,1,0.739959672362357,18011.07:40:24.2794646,3,Start
0,1,0.711011683891714,18011.07:40:24.2934460,3,Start
0,1,0.674690509586036,18011.07:40:24.3084910,3,Start
0,1,0.677268205510825,18011.07:40:24.3224767,3,Start
0,1,0.701190066830069,18011.07:40:24.3364377,3,Start
0,1,0.698877714026719,18011.07:40:24.3504463,3,Start
0,1,0.692030410513282,18011.07:40:24.3654313,3,Start
0,1,0.686268695170432,18011.07:40:24.3794167,3,Start
0,1,0.679299479899555,18011.07:40:24.3943776,3,Start
0,1,0.679491195574403,18011.07:40:24.4083853,3,Start
0,1,0.680452617085725,18011.07:40:24.4233718,3,Start
0,1,0.687912322523445,18011.07:40:24.4363591,3,Start
0,1,0.693847763346135,18011.07:40:24.4514026,3,Start
0,1,0.709101438907534,18011.07:40:24.4654118,3,Start
0,1,0.72542526146397,18011.07:40:24.4794677,3,Start
0,1,0.728330065212399,18011.07:40:24.4935082,3,Start
0,1,0.730731192520261,18011.07:40:24.5084685,3,Start
0,1,0.733234280606359,18011.07:40:24.5234529,3,Start
0,1,0.736455947080999,18011.07:40:24.5375082,3,Start
0,1,0.738767319492251,18011.07:40:24.5515198,3,Start
0,1,0.741621976184845,18011.07:40:24.5655010,3,Start
0,1,0.739363692005724,18011.07:40:24.5794656,3,Start
0,1,0.741429966392368,18011.07:40:24.5934501,3,Start
0,1,0.739136584176123,18011.07:40:24.6084348,3,Start
0,1,0.746735603331029,18011.07:40:24.6224205,3,Start
0,1,0.753671681348979,18011.07:40:24.6364065,3,Start
0,1,0.758085406576097,18011.07:40:24.6513909,3,Start
0,1,0.764090945433825,18011.07:40:24.6653790,3,Start
0,1,0.760396778987348,18011.07:40:24.6793623,3,Start
0,1,0.763180357252806,18011.07:40:24.6934264,3,Start
0,1,0.784018885422498,18011.07:40:24.7084147,3,Start
0,1,0.799675257038325,18011.07:40:24.7233976,3,Start
0,1,0.80685741347298,18011.07:40:24.7363858,3,Start
0,1,0.802389717660844,18011.07:40:24.7504086,3,Start
0,1,0.781025601287186,18011.07:40:24.7653936,3,Start
0,1,0.753723200953752,18011.07:40:24.7793808,3,Start
0,1,0.750079867837578,18011.07:40:24.7933701,3,Start
0,1,0.757821337964386,18011.07:40:24.8083494,3,Start
0,1,0.758047465401888,18011.07:40:24.8223146,3,Start
0,1,0.752128446146846,18011.07:40:24.8363253,3,Start
0,1,0.738520358722657,18011.07:40:24.8513100,3,Start
0,1,0.731883447353542,18011.07:40:24.8652960,3,Start
0,1,0.739885456680507,18011.07:40:24.8792817,3,Start
0,1,0.753267416667193,18011.07:40:24.8932671,3,Start
0,1,0.773128395875543,18011.07:40:24.9082521,3,Start
0,1,0.78750462050885,18011.07:40:24.9232371,3,Start
0,1,0.786683100949973,18011.07:40:24.9362232,3,Start
0,1,0.783302856053412,18011.07:40:24.9512079,3,Start
0,1,0.781640552230924,18011.07:40:24.9651939,3,Start
0,1,0.780921973842382,18011.07:40:24.9791793,3,Start
0,1,0.779853101357073,18011.07:40:24.9941643,3,Start
0,1,0.775879131005704,18011.07:40:25.0081599,3,Start
0,1,0.776316238822788,18011.07:40:25.0231344,3,Start
0,1,0.779519915102422,18011.07:40:25.0361750,3,Start
0,1,0.780292169958353,18011.07:40:25.0511365,3,Start
0,1,0.783688836422562,18011.07:40:25.0651457,3,Start
0,1,0.787629375403374,18011.07:40:25.0791351,3,Start
0,1,0.787960698913038,18011.07:40:25.0941188,3,Start
0,1,0.791707953591645,18011.07:40:25.1081048,3,Start
0,1,0.794230992656946,18011.07:40:25.1221123,3,Start
0,1,0.789239277268201,18011.07:40:25.1361519,3,Start
0,1,0.783284865858406,18011.07:40:25.1511351,3,Start
0,1,0.776682660369575,18011.07:40:25.1651205,3,Start
0,1,0.763110847453028,18011.07:40:25.1791029,3,Start
0,1,0.749854034517705,18011.07:40:25.1940894,3,Start
0,1,0.745140554406494,18011.07:40:25.2080733,3,Start
0,1,0.745386632823199,18011.07:40:25.2230592,3,Start
0,1,0.746350309236347,18011.07:40:25.2361209,3,Start
0,1,0.753986583290994,18011.07:40:25.2510911,3,Start
0,1,0.761411876966059,18011.07:40:25.2651326,3,Start
0,1,0.761219867173582,18011.07:40:25.2801236,3,Start
0,1,0.762060651437193,18011.07:40:25.2930868,3,Start
0,1,0.765877710033208,18011.07:40:25.3080926,3,Start
0,1,0.762638347481191,18011.07:40:25.3230764,3,Start
0,1,0.776524081947655,18011.07:40:25.3370386,3,Start
0,1,0.787154326412082,18011.07:40:25.3510451,3,Start
0,1,0.790027659574151,18011.07:40:25.3650082,3,Start
0,1,0.79529761024043,18011.07:40:25.3800152,3,Start
0,1,0.789517512545734,18011.07:40:25.3940018,3,Start
0,1,0.783651875640452,18011.07:40:25.4079869,3,Start
0,1,0.769170160817355,18011.07:40:25.4229758,3,Start
0,1,0.763582759189606,18011.07:40:25.4369347,3,Start
0,1,0.766593739402294,18011.07:40:25.4509457,3,Start
0,1,0.767242513873428,18011.07:40:25.4649061,3,Start
0,1,0.752303446136415,18011.07:40:25.4798899,3,Start
0,1,0.738257270503044,18011.07:40:25.4938991,3,Start
0,1,0.725018447762728,18011.07:40:25.5078610,3,Start
0,1,0.715648399301618,18011.07:40:25.5228719,3,Start
0,1,0.705053546991944,18011.07:40:25.5368543,3,Start
0,1,0.69943173360154,18011.07:40:25.5508406,3,Start
0,1,0.698102321916074,18011.07:40:25.5648402,3,Start
0,1,0.700590262944251,18011.07:40:25.5798164,3,Start
0,1,0.709958056503534,18011.07:40:25.5938018,3,Start
0,1,0.724125163502246,18011.07:40:25.6077827,3,Start
0,1,0.73421251584217,18011.07:40:25.6227689,3,Start
0,1,0.748768152229488,18011.07:40:25.6367302,3,Start
0,1,0.762849327860773,18011.07:40:25.6507578,3,Start
0,1,0.775650748666376,18011.07:40:25.6647230,3,Start
0,1,0.781377464011312,18011.07:40:25.6797107,3,Start
0,1,0.785126287317276,18011.07:40:25.6936979,3,Start
0,1,0.783881826607138,18011.07:40:25.7086561,3,Start
0,1,0.778243297531456,18011.07:40:25.7226659,3,Start
0,1,0.770589915634692,18011.07:40:25.7366278,3,Start
0,1,0.765685994358361,18011.07:40:25.7506361,3,Start
0,1,0.770763935232163,18011.07:40:25.7655988,3,Start
0,1,0.77817221910432,18011.07:40:25.7796089,3,Start
0,1,0.779065111207962,18011.07:40:25.7936154,3,Start
0,1,0.781095699322224,18011.07:40:25.8085805,3,Start
0,1,0.78703368916437,18011.07:40:25.8226421,3,Start
0,1,0.78929265961796,18011.07:40:25.8366541,3,Start
0,1,0.784739032438397,18011.07:40:25.8506657,3,Start
0,1,0.774721189898253,18011.07:40:25.8646484,3,Start
0,1,0.755825455730408,18011.07:40:25.8796337,3,Start
