Test ID,Pupil dilation,Brightness,Time epoch,Eyes closed,Phase,Model name
19,1.072878,0.76156736715287,18018.19:32:58.7069574,0,Start,aj
19,1.072821,0.762665651401132,18018.19:32:58.7219415,0,Start,aj
19,1.074249,0.748541828713566,18018.19:32:58.7359272,0,Start,aj
19,1.075456,0.749326975725591,18018.19:32:58.7499129,0,Start,aj
19,1.076537,0.758118641868234,18018.19:32:58.7648976,0,Start,aj
19,1.078061,0.760303298600763,18018.19:32:58.7788821,0,Start,aj
19,1.080566,0.726632712372392,18018.19:32:58.7928696,0,Start,aj
19,1.081443,0.712106487748027,18018.19:32:58.8078884,0,Start,aj
19,1.082033,0.71327330140397,18018.19:32:58.8218382,0,Start,aj
19,1.083994,0.728138055419922,18018.19:32:58.8358243,0,Start,aj
19,1.08565,0.770837366600335,18018.19:32:58.8498106,0,Start,aj
19,1.086982,0.773851189950108,18018.19:32:58.8647953,0,Start,aj
19,1.089527,0.772589033162594,18018.19:32:58.8787801,0,Start,aj
19,1.092616,0.768300160869211,18018.19:32:58.8927679,0,Start,aj
19,1.094106,0.768001974612474,18018.19:32:58.9077508,0,Start,aj
19,1.097086,0.771276141083986,18018.19:32:58.9217365,0,Start,aj
19,1.099444,0.766551435483247,18018.19:32:58.9357219,0,Start,aj
19,1.101189,0.757098102713376,18018.19:32:58.9507075,0,Start,aj
19,1.104237,0.748531191459298,18018.19:32:58.9651757,0,Start,aj
19,1.107258,0.722471683208644,18018.19:32:58.9781624,0,Start,aj
19,1.109604,0.731263741508126,18018.19:32:58.9931471,0,Start,aj
19,1.112127,0.744048740746081,18018.19:32:59.0071584,0,Start,aj
19,1.112332,0.76238633769229,18018.19:32:59.0221169,0,Start,aj
19,1.112921,0.751856387339532,18018.19:32:59.0361035,0,Start,aj
19,1.115381,0.725273839904368,18018.19:32:59.0500967,0,Start,aj
19,1.117151,0.716901585501432,18018.19:32:59.0640746,0,Start,aj
19,1.118104,0.720993448002636,18018.19:32:59.0780995,0,Start,aj
19,1.117889,0.744956387750805,18018.19:32:59.0930453,0,Start,aj
19,1.117655,0.73838780971095,18018.19:32:59.1070304,0,Start,aj
19,1.118734,0.725946633981913,18018.19:32:59.1210158,0,Start,aj
19,1.120842,0.692712322237343,18018.19:32:59.1360005,0,Start,aj
19,1.121462,0.685848891273886,18018.19:32:59.1499868,0,Start,aj
19,1.122579,0.687564969602972,18018.19:32:59.1639728,0,Start,aj
19,1.122831,0.69434374370873,18018.19:32:59.1789575,0,Start,aj
19,1.123198,0.687000950028747,18018.19:32:59.1929423,0,Start,aj
19,1.124014,0.699560606142878,18018.19:32:59.2069289,0,Start,aj
19,1.126963,0.696990067080408,18018.19:32:59.2219127,0,Start,aj
19,1.129519,0.741404280119389,18018.19:32:59.2378976,0,Start,aj
19,1.134412,0.674842372322083,18018.19:32:59.2638702,0,Start,aj
19,1.13621,0.680268205332011,18018.19:32:59.2788555,0,Start,aj
19,1.138886,0.709706389851868,18018.19:32:59.2928418,0,Start,aj
19,1.142373,0.69204065561071,18018.19:32:59.3068263,0,Start,aj
19,1.141519,0.718882957932353,18018.19:32:59.3218116,0,Start,aj
19,1.141503,0.702679184388369,18018.19:32:59.3367969,0,Start,aj
19,1.140512,0.728381535797566,18018.19:32:59.3497821,0,Start,aj
19,1.138443,0.721064967606217,18018.19:32:59.3637693,0,Start,aj
19,1.137178,0.734261045251042,18018.19:32:59.3787525,0,Start,aj
19,1.134451,0.744253250537813,18018.19:32:59.3927382,0,Start,aj
19,1.131324,0.766595259010047,18018.19:32:59.4067827,0,Start,aj
19,1.129915,0.793070649588853,18018.19:32:59.4217683,0,Start,aj
19,1.126333,0.733816143316776,18018.19:32:59.4367518,0,Start,aj
19,1.124728,0.737947515619546,18018.19:32:59.4501974,0,Start,aj
19,1.124362,0.773297023316473,18018.19:32:59.4641982,0,Start,aj
19,1.123756,0.734732613850385,18018.19:32:59.4781824,0,Start,aj
19,1.125855,0.739032417515665,18018.19:32:59.4931400,0,Start,aj
19,1.12687,0.711349625048041,18018.19:32:59.5071254,0,Start,aj
19,1.126124,0.797998786550015,18018.19:32:59.5211385,0,Start,aj
19,1.124179,0.728859722043574,18018.19:32:59.5360955,0,Start,aj
19,1.120994,0.742250162421912,18018.19:32:59.5500809,0,Start,aj
19,1.118854,0.738235799916089,18018.19:32:59.5640684,0,Start,aj
19,1.115107,0.754664475407451,18018.19:32:59.5790525,0,Start,aj
19,1.111203,0.775506140831858,18018.19:32:59.5930370,0,Start,aj
19,1.107732,0.722811732207984,18018.19:32:59.6070245,0,Start,aj
19,1.105915,0.728937810274214,18018.19:32:59.6210109,0,Start,aj
19,1.101275,0.726043251623213,18018.19:32:59.6359931,0,Start,aj
19,1.098035,0.718211634442955,18018.19:32:59.6499788,0,Start,aj
19,1.096544,0.729174476926774,18018.19:32:59.6639664,0,Start,aj
19,1.093684,0.732010849306733,18018.19:32:59.6789495,0,Start,aj
19,1.090651,0.729256045549363,18018.19:32:59.6929353,0,Start,aj
19,1.087543,0.724801879148185,18018.19:32:59.7069225,0,Start,aj
19,1.08584,0.715961634577066,18018.19:32:59.7219063,0,Start,aj
19,1.082376,0.71401756606549,18018.19:32:59.7358914,0,Start,aj
19,1.078451,0.717135016860068,18018.19:32:59.7498786,0,Start,aj
19,1.076755,0.720810898993909,18018.19:32:59.7638643,0,Start,aj
19,1.073063,0.721524967578798,18018.19:32:59.7788472,0,Start,aj
19,1.069462,0.728755016167462,18018.19:32:59.7928332,0,Start,aj
19,1.066549,0.723323251785338,18018.19:32:59.8068204,0,Start,aj
19,1.065685,0.727104231952131,18018.19:32:59.8218042,0,Start,aj
19,1.064978,0.728049526013434,18018.19:32:59.8357890,0,Start,aj
19,1.063226,0.735739574574679,18018.19:32:59.8497753,0,Start,aj
19,1.067137,0.728421045599133,18018.19:33:00.0790647,0,Start,aj
19,1.071254,0.724255359572917,18018.19:33:00.1070361,0,Start,aj
19,1.073375,0.723588889024407,18018.19:33:00.1210219,0,Start,aj
19,1.075097,0.724061388996244,18018.19:33:00.1360065,0,Start,aj
19,1.075788,0.723449281189591,18018.19:33:00.1499923,0,Start,aj
19,1.078256,0.732656535542756,18018.19:33:00.1639774,0,Start,aj
19,1.080384,0.754092318578809,18018.19:33:00.1789620,0,Start,aj
19,1.081223,0.778084277933091,18018.19:33:00.1929475,0,Start,aj
19,1.08201,0.801358345173299,18018.19:33:00.2069344,0,Start,aj
19,1.082808,0.811710060242564,18018.19:33:00.2209192,0,Start,aj
19,1.084154,0.81088628578186,18018.19:33:00.2359045,0,Start,aj
19,1.085082,0.802657462742925,18018.19:33:00.2498911,0,Start,aj
19,1.086124,0.798509080637246,18018.19:33:00.2638753,0,Start,aj
19,1.087158,0.799156580598652,18018.19:33:00.2778622,0,Start,aj
19,1.087612,0.796107659211755,18018.19:33:00.2928457,0,Start,aj
19,1.088645,0.790186385054886,18018.19:33:00.3118272,0,Start,aj
19,1.090514,0.79712020817101,18018.19:33:00.3218161,0,Start,aj
19,1.09095,0.805068541030586,18018.19:33:00.3358160,0,Start,aj
19,1.090736,0.809642413306981,18018.19:33:00.3497884,0,Start,aj
19,1.090972,0.812605795483291,18018.19:33:00.3637732,0,Start,aj
19,1.090501,0.812657903323323,18018.19:33:00.3778138,0,Start,aj
19,1.090845,0.81121986419335,18018.19:33:00.3927623,0,Start,aj
19,1.090979,0.802184374535829,18018.19:33:00.4067480,0,Start,aj
19,1.092106,0.789541532152146,18018.19:33:00.4217327,0,Start,aj
19,1.092035,0.759580112369359,18018.19:33:00.4358570,0,Start,aj
19,1.092347,0.738670603811741,18018.19:33:00.4498431,0,Start,aj
19,1.093249,0.721684820510447,18018.19:33:00.4638288,0,Start,aj
19,1.094688,0.722562663595378,18018.19:33:00.4788132,0,Start,aj
19,1.0969,0.718447810899466,18018.19:33:00.4927998,0,Start,aj
19,1.097909,0.727220212337375,18018.19:33:00.5070181,0,Start,aj
19,1.09782,0.735975898090005,18018.19:33:00.5210053,0,Start,aj
19,1.097352,0.735171094216406,18018.19:33:00.5359888,0,Start,aj
19,1.099553,0.739304329264164,18018.19:33:00.5499748,0,Start,aj
19,1.100319,0.742474868290871,18018.19:33:00.5639608,0,Start,aj
19,1.100942,0.74286182905212,18018.19:33:00.5789440,0,Start,aj
19,1.101469,0.743826485857368,18018.19:33:00.5929297,0,Start,aj
19,1.102987,0.749012465940416,18018.19:33:00.6069157,0,Start,aj
19,1.102983,0.746245603360235,18018.19:33:00.6219019,0,Start,aj
19,1.104768,0.743706142727286,18018.19:33:00.6368857,0,Start,aj
19,1.105481,0.739113888099045,18018.19:33:00.6498716,0,Start,aj
19,1.106697,0.732754819850624,18018.19:33:00.6638570,0,Start,aj
19,1.105979,0.727603839765489,18018.19:33:00.6788420,0,Start,aj
19,1.10522,0.729545261218399,18018.19:33:00.6928277,0,Start,aj
19,1.105619,0.726864918240905,18018.19:33:00.7068149,0,Start,aj
19,1.106692,0.725847859477997,18018.19:33:00.7211604,0,Start,aj
19,1.108166,0.727773251520097,18018.19:33:00.7361225,0,Start,aj
19,1.110026,0.728789329890907,18018.19:33:00.7501073,0,Start,aj
19,1.11164,0.747877073851228,18018.19:33:00.7641156,0,Start,aj
19,1.113187,0.788102120473236,18018.19:33:00.7790928,0,Start,aj
19,1.115782,0.815279079637677,18018.19:33:00.7920647,0,Start,aj
19,1.118077,0.812536971957982,18018.19:33:00.8070509,0,Start,aj
19,1.119919,0.78505829712525,18018.19:33:00.8210357,0,Start,aj
19,1.122273,0.764040357201546,18018.19:33:00.8360198,0,Start,aj
19,1.124554,0.750396583504975,18018.19:33:00.8500061,0,Start,aj
19,1.126761,0.752744622580707,18018.19:33:00.8639928,0,Start,aj
19,1.129781,0.764407366983593,18018.19:33:00.8789765,0,Start,aj
19,1.148101,0.736106192199886,18018.19:33:00.9938592,0,Start,aj
19,1.152285,0.722326340080053,18018.19:33:01.0218300,0,Start,aj
19,1.154702,0.713851144506782,18018.19:33:01.0352522,0,Start,aj
19,1.156282,0.716359134553373,18018.19:33:01.0502369,0,Start,aj
19,1.157954,0.730442270968854,18018.19:33:01.0642455,0,Start,aj
19,1.159649,0.734345162893087,18018.19:33:01.0782333,0,Start,aj
19,1.161754,0.734939868739992,18018.19:33:01.0922154,0,Start,aj
19,1.16224,0.740494525271654,18018.19:33:01.1072037,0,Start,aj
19,1.163559,0.757821730121225,18018.19:33:01.1211635,0,Start,aj
19,1.163998,0.770396827410907,18018.19:33:01.1351751,0,Start,aj
19,1.163934,0.767526141307503,18018.19:33:01.1501339,0,Start,aj
19,1.164991,0.766491778624058,18018.19:33:01.1641208,0,Start,aj
19,1.166349,0.763234719994664,18018.19:33:01.1781062,0,Start,aj
19,1.166577,0.74910035809204,18018.19:33:01.1921178,0,Start,aj
19,1.16648,0.74172481931597,18018.19:33:01.2071028,0,Start,aj
19,1.166558,0.742861534934491,18018.19:33:01.2210614,0,Start,aj
19,1.164898,0.743107613351196,18018.19:33:01.2350486,0,Start,aj
19,1.164704,0.745349868119508,18018.19:33:01.2500327,0,Start,aj
19,1.163159,0.747121877817809,18018.19:33:01.2640187,0,Start,aj
19,1.1624,0.745741730841249,18018.19:33:01.2780047,0,Start,aj
19,1.162626,0.744724377960712,18018.19:33:01.2929879,0,Start,aj
19,1.163083,0.746863985676318,18018.19:33:01.3069736,0,Start,aj
19,1.161793,0.739495603762567,18018.19:33:01.3209597,0,Start,aj
19,1.162039,0.732982466895878,18018.19:33:01.3359449,0,Start,aj
19,1.161658,0.730988545446098,18018.19:33:01.3499304,0,Start,aj
19,1.162029,0.72573374183774,18018.19:33:01.3639155,0,Start,aj
19,1.161628,0.725417859503627,18018.19:33:01.3779027,0,Start,aj
19,1.161481,0.727257026060671,18018.19:33:01.3928877,0,Start,aj
19,1.160704,0.728446829911321,18018.19:33:01.4068719,0,Start,aj
19,1.159748,0.729216535747796,18018.19:33:01.4208591,0,Start,aj
19,1.159334,0.730495408220589,18018.19:33:01.4358423,0,Start,aj
19,1.158213,0.729936094528437,18018.19:33:01.4498006,0,Start,aj
19,1.158025,0.727677810349315,18018.19:33:01.4642965,0,Start,aj
19,1.156522,0.737487221529335,18018.19:33:01.4783063,0,Start,aj
19,1.156391,0.748467073816061,18018.19:33:01.4932675,0,Start,aj
19,1.156046,0.749182416910678,18018.19:33:01.5072526,0,Start,aj
19,1.15527,0.748478887540847,18018.19:33:01.5212612,0,Start,aj
19,1.154557,0.750314818803966,18018.19:33:01.5362230,0,Start,aj
19,1.152394,0.741202368366718,18018.19:33:01.5502087,0,Start,aj
19,1.149941,0.738642956754565,18018.19:33:01.5641950,0,Start,aj
19,1.148051,0.740988740928471,18018.19:33:01.5782033,0,Start,aj
19,1.145735,0.751743152052164,18018.19:33:01.5931657,0,Start,aj
19,1.143848,0.755036877346039,18018.19:33:01.6071514,0,Start,aj
19,1.143848,0.754475896987319,18018.19:33:01.6211362,0,Start,aj
19,1.140803,0.761920847523958,18018.19:33:01.6361218,0,Start,aj
