Test ID,Pupil dilation,Brightness,Time epoch,Eyes closed,Phase,Model name
36,1.587569,0.718554673638195,18022.19:28:12.1421648,0,Start,aj
36,1.595217,0.731965555191785,18022.19:28:12.1551512,0,Start,aj
36,1.598585,0.742001289887726,18022.19:28:12.1691371,0,Start,aj
36,1.60401,0.754154230339825,18022.19:28:12.1842291,0,Start,aj
36,1.609249,0.76949104315117,18022.19:28:12.1972161,0,Start,aj
36,1.615093,0.801694276525825,18022.19:28:12.2122004,0,Start,aj
36,1.617857,0.795998492551595,18022.19:28:12.2271854,0,Start,aj
36,1.622751,0.785900846094638,18022.19:28:12.2411708,0,Start,aj
36,1.624623,0.809408197634667,18022.19:28:12.2551562,0,Start,aj
36,1.625159,0.789193885114044,18022.19:28:12.2691424,0,Start,aj
36,1.626363,0.775765650620312,18022.19:28:12.2842259,0,Start,aj
36,1.628603,0.765584768874198,18022.19:28:12.2982125,0,Start,aj
36,1.63321,0.781589865959436,18022.19:28:12.3141953,0,Start,aj
36,1.63321,0.775918591787666,18022.19:28:12.3411676,0,Start,aj
36,1.631664,0.763921680738032,18022.19:28:12.3551536,0,Start,aj
36,1.630541,0.768828249073028,18022.19:28:12.3694455,0,Start,aj
36,1.628654,0.778621630842239,18022.19:28:12.3834312,0,Start,aj
36,1.625461,0.800100355052203,18022.19:28:12.3974171,0,Start,aj
36,1.625461,0.798816678658128,18022.19:28:12.4124018,0,Start,aj
36,1.625461,0.778429424971342,18022.19:28:12.4273868,0,Start,aj
36,1.625461,0.77455770951584,18022.19:28:12.4413733,0,Start,aj
36,1.624215,0.778111287735403,18022.19:28:12.4553578,0,Start,aj
36,1.622133,0.781209081668407,18022.19:28:12.4693435,0,Start,aj
36,1.612963,0.766408249217272,18022.19:28:12.4843282,0,Start,aj
36,1.612963,0.774413885995,18022.19:28:12.4983138,0,Start,aj
36,1.612963,0.753935259764641,18022.19:28:12.5122995,0,Start,aj
36,1.612963,0.74876378948465,18022.19:28:12.5272845,1,Start,aj
36,1.612963,0.753255357844382,18022.19:28:12.5412699,1,Start,aj
36,1.612963,0.762237759269774,18022.19:28:12.5552555,1,Start,aj
36,1.612963,0.763802563098073,18022.19:28:12.5702405,1,Start,aj
